"Qty","Value","Refs","Footprint","Note","Example Part"
2,"10","R5 R6","R_0805","1/4W","ERJ-T06J100V"
1,"100","R1","R_0805",,"ERJ-6ENF1000V"
3,"1k","R2 R4 R20","R_0805",,"ERJ-S06F1001V"
2,"5.6k","R15 R16","R_0805","1%","ERJ-6ENF5601V"
2,"10k","R7 R9","R_0805",,"ERJ-S06F1001V"
1,"12k","R19","R_0805","1%","ERJ-6ENF1202V"
1,"22k","R22","R_0805",,"ERJ-6ENF2202V"
1,"33k","R23","R_0805",,"ERJ-6ENF3302V"
1,"47k","R3","R_0805",,"ERJ-6ENF4702V"
9,"100k","R8 R10 R11 R12 R13 R14 R21 R24 R25","R_0805","1%","ERJ-U06F1003V"
1,"150k","R18","R_0805","1%","ERJ-6ENF1503V"
2,"100pF","C8 C17","C_0805","COG ≥25V","08053A101FAT2A"
1,"1nF","C2","C_0805","COG ≥25V","C0805H102J3GACT1K0"
1,"10nF","C9","C_0805","COG ≥25V","GRM2195C1H103JA01D"
6,"100nF","C1 C3 C4 C14 C16 C18","C_0805","≥25V","GCE21BR71H104KA01L"
5,"10uF","C10 C11 C12 C13 C15","C_0805","≥25V","GRM21BC71E106KE11L"
1,"22uF","C7","C_0805","≥25V","GRT21BR61E226ME13L"
2,"22uF","C5 C6","CP_2312","≥20V Tantalum","F971D226MCCHT3"
2,"LL4148","D1 D2","D_SOD80",,"LL4148"
2,"S1JL","D3 D4","D_SMF",,"S1JL"
2,"MMBT5401","Q1 Q2","SOT-23",,"MMBT5401"
1,"4093","U1","SOIC-14",,"HEF4093B"
1,"4013","U2","SOIC-14",,"CD4013BM"
1,"TL072","U4","SOIC-8",,"TL072CDR"
1,"MN3005","U3","MN3005",,
2,,"TP1 TP2","Testpoint","Optional","151-202-RC"
1,"B100k","RV1","3306F",,"3306F-1-104"
1,"B1k","RV3","Alpha9mmSG",,"RD901F-40-15R1-B1K"
2,"A50k","RV4 RV5","Alpha9mmSG",,"RD901F-40-15R1-A50K"
1,"C1M","RV2","Alpha9mmSG","B or C ok","RD901F-40-15R1-C1M"
4,"Knob",,,,
1,,"J1","IDC_2x05",,"87834-1019"
6,,"J2 J3 J4 J5 J6 J7","Thonkiconn",,"WQP-PJ398SM"
